step,time_days,p_min,p_max,phi_min,phi_max,sigma_T_min,sigma_T_max,source_rate_min,source_rate_max,fixed_stress_iterations,pressure_newton_iterations
32,1.6000000000e+02,-8.2665817781e+04,6.2075543618e+07,6.7758147062e-02,8.0159060514e-02,-3.5313243209e+07,-2.3594754117e+07,-1.3839272462e-03,4.8623310742e-05,3,2
33,1.6500000000e+02,-8.0816411222e+04,6.1896228478e+07,6.7754780921e-02,8.0122142409e-02,-3.5283090568e+07,-2.3612913978e+07,-1.3166387532e-03,4.5102272649e-05,3,2
34,1.7000000000e+02,-7.9080695420e+04,6.1738708557e+07,6.7751648295e-02,8.0089546694e-02,-3.5256462678e+07,-2.3630047846e+07,-1.2576926761e-03,4.2061424727e-05,3,2
35,1.7500000000e+02,-7.7216493913e+04,6.1601762664e+07,6.7748685850e-02,8.0061271818e-02,-3.5233197834e+07,-2.3646148237e+07,-1.2060361334e-03,3.9179203957e-05,3,2
36,1.8000000000e+02,-1.2405658858e+04,6.9970732871e+07,6.7753757726e-02,8.1628347948e-02,-3.6608899375e+07,-2.3672489486e+07,-1.1605390805e-03,3.6792670515e-02,3,2
37,1.8500000000e+02,-1.2178939739e+04,6.9985471188e+07,6.7751123673e-02,8.1696764169e-02,-3.6574432140e+07,-2.3686897579e+07,-1.1198570042e-03,8.2432881424e-03,3,2
38,1.9000000000e+02,-1.1950104355e+04,6.9989004824e+07,6.7748509427e-02,8.1715546898e-02,-3.6569170379e+07,-2.3700446612e+07,-1.0822524235e-03,4.0202721357e-03,3,2
39,1.9500000000e+02,-1.1733891694e+04,6.9990699254e+07,6.7746012741e-02,8.1724520261e-02,-3.6569684665e+07,-2.3713338902e+07,-1.0455923291e-03,2.5306515089e-03,3,2
40,2.0000000000e+02,-1.1529447193e+04,6.9991707961e+07,6.7743634928e-02,8.1729841295e-02,-3.6571096908e+07,-2.3725643607e+07,-1.0081793760e-03,1.7724352541e-03,3,2
41,2.0500000000e+02,-1.1335753551e+04,6.9992376697e+07,6.7741367663e-02,8.1733359959e-02,-3.6572468500e+07,-2.3737411028e+07,-9.6951848899e-04,1.3120409569e-03,3,2
42,2.1000000000e+02,-1.1151881686e+04,6.5050433018e+07,6.7739201952e-02,8.0793603733e-02,-3.5872545600e+07,-2.3748683571e+07,-3.4093938909e-02,2.9321722310e-04,3,2
43,2.1500000000e+02,-1.0977015063e+04,6.3844776450e+07,6.7737129471e-02,8.0534088981e-02,-3.5634699106e+07,-2.3759497654e+07,-7.6202810658e-03,8.1871398415e-04,3,2
44,2.2000000000e+02,-1.0810443271e+04,6.3093067636e+07,6.7735142806e-02,8.0374501669e-02,-3.5498489246e+07,-2.3769884577e+07,-3.6798560007e-03,1.5900424488e-04,3,2
45,2.2500000000e+02,-1.0651549598e+04,6.2551809566e+07,6.7733235476e-02,8.0262004868e-02,-3.5403416540e+07,-2.3779871282e+07,-2.3397407133e-03,2.2410492223e-05,3,2
46,2.3000000000e+02,-1.0499797015e+04,6.2144654448e+07,6.7731401887e-02,8.0176467872e-02,-3.5331937098e+07,-2.3789481171e+07,-1.7106296226e-03,2.1413425753e-05,3,2
47,2.3500000000e+02,-1.0354713861e+04,6.1828731257e+07,6.7729637259e-02,8.0110622091e-02,-3.5276935854e+07,-2.3798734929e+07,-1.3585001967e-03,2.0479390315e-05,3,2
48,2.4000000000e+02,-6.2378557547e+04,6.1589409840e+07,6.7721460733e-02,8.0060177309e-02,-3.5234786860e+07,-2.3798512412e+07,-1.1440192246e-03,-4.8641319656e-07,3,2
49,2.4500000000e+02,-6.1479712575e+04,6.1416667630e+07,6.7719782203e-02,8.0023763616e-02,-3.5203884143e+07,-2.3807087714e+07,-1.0043530970e-03,1.8623392434e-05,3,2
50,2.5000000000e+02,-6.0705216300e+04,6.1318271990e+07,6.7718262711e-02,8.0001941709e-02,-3.5184138862e+07,-2.3815479750e+07,-9.0998407475e-04,1.8112045821e-05,3,2
51,2.5500000000e+02,-5.9969680925e+04,6.1312259631e+07,6.7716810744e-02,7.9999214457e-02,-3.5179924061e+07,-2.3823594944e+07,-8.4461006095e-04,1.7408996724e-05,3,2
52,2.6000000000e+02,-5.9275656824e+04,6.1312003819e+07,6.7715411549e-02,7.9997781503e-02,-3.5178775197e+07,-2.3831437892e+07,-7.9862839824e-04,1.6726467790e-05,3,2
53,2.6500000000e+02,-5.8663936418e+04,6.1311778263e+07,6.7714058947e-02,7.9996526248e-02,-3.5177760053e+07,-2.3839027214e+07,-7.6539502967e-04,1.6093465157e-05,3,2
54,2.7000000000e+02,-9.4807378896e+03,6.9969439060e+07,6.7718771920e-02,8.1621541632e-02,-3.6602332057e+07,-2.3854837475e+07,-7.1663052534e-04,3.6772527578e-02,4,2
55,2.7500000000e+02,-9.3892277548e+03,6.9984173222e+07,6.7717570170e-02,8.1689983945e-02,-3.6567791978e+07,-2.3861998503e+07,-8.9343020590e-04,8.2374171107e-03,3,2
56,2.8000000000e+02,-9.2889896852e+03,6.9987705751e+07,6.7716304790e-02,8.1708777802e-02,-3.6562588744e+07,-2.3868819688e+07,-6.5887248275e-04,4.0186079139e-03,3,2
57,2.8500000000e+02,-9.1918588066e+03,6.9989402023e+07,6.7715064406e-02,8.1717768727e-02,-3.6563186368e+07,-2.3875429233e+07,-6.3287406267e-04,2.5364068791e-03,3,2
58,2.9000000000e+02,-9.0979127023e+03,6.9990415259e+07,6.7713858464e-02,8.1723117390e-02,-3.6564684922e+07,-2.3881851941e+07,-6.0640883424e-04,1.7879198257e-03,3,2
59,2.9500000000e+02,-9.0070010256e+03,6.9991090942e+07,6.7712686905e-02,8.1726674365e-02,-3.6566142875e+07,-2.3888100748e+07,-5.7962548414e-04,1.3365904125e-03,3,2
60,3.0000000000e+02,-8.9189520806e+03,6.4532178756e+07,6.7711548041e-02,8.0692054069e-02,-3.5802159203e+07,-2.3894185602e+07,-3.4072402032e-02,3.7329310039e-04,3,2
