step,time_days,p_min,p_max,phi_min,phi_max,sigma_T_min,sigma_T_max,source_rate_min,source_rate_max,fixed_stress_iterations,pressure_newton_iterations
32,1.6000000000e+02,1.0000000000e+07,6.5838155202e+07,6.9520509799e-02,8.0924776785e-02,-3.5921585102e+07,-2.5054625445e+07,-7.4662457357e-03,1.1521404443e-03,3,2
33,1.6500000000e+02,1.0000000000e+07,6.5650184996e+07,6.9491031748e-02,8.0886360766e-02,-3.5890838063e+07,-2.5179269728e+07,-4.9338125147e-03,8.0110852803e-04,3,2
34,1.7000000000e+02,1.0000000000e+07,6.5470882593e+07,6.9475836903e-02,8.0849725331e-02,-3.5861501207e+07,-2.5271198209e+07,-3.6610250404e-03,5.7929160966e-04,3,2
35,1.7500000000e+02,1.0000000000e+07,6.5298439680e+07,6.9466835685e-02,8.0814498507e-02,-3.5833280861e+07,-2.5342250869e+07,-2.9191644485e-03,4.4129910124e-04,3,2
36,1.8000000000e+02,2.1414523614e+07,7.0000000000e+07,7.1660714175e-02,8.1693911912e-02,-3.6603796762e+07,-2.8013973182e+07,-2.6275548602e-03,2.7247436988e-02,3,2
37,1.8500000000e+02,2.5966063541e+07,7.0000000000e+07,7.2661009443e-02,8.1728431389e-02,-3.6584228884e+07,-2.9049924023e+07,-1.7444472137e-03,1.2428812031e-02,3,2
38,1.9000000000e+02,2.8870587116e+07,7.0000000000e+07,7.3292862269e-02,8.1737654212e-02,-3.6580986160e+07,-2.9647646127e+07,-1.4173844939e-03,7.8470014045e-03,3,2
39,1.9500000000e+02,3.1013609907e+07,7.0000000000e+07,7.3752531204e-02,8.1741947936e-02,-3.6580935600e+07,-3.0061678320e+07,-1.1896823875e-03,5.7735828186e-03,3,2
40,2.0000000000e+02,3.2709938009e+07,7.0000000000e+07,7.4112716499e-02,8.1744436470e-02,-3.6581435852e+07,-3.0376842676e+07,-1.0269433751e-03,4.5948667486e-03,3,2
41,2.0500000000e+02,3.4111341047e+07,7.0000000000e+07,7.4408151229e-02,8.1746046168e-02,-3.6581963905e+07,-3.0630597784e+07,-9.0276351453e-04,3.8304979038e-03,3,2
42,2.1000000000e+02,3.5303314665e+07,6.8487616086e+07,7.4658124338e-02,8.1467494378e-02,-3.6351773840e+07,-3.0842603747e+07,-6.3652016829e-03,3.2920724334e-03,3,2
43,2.1500000000e+02,3.6338939895e+07,6.7776414439e+07,7.4874456651e-02,8.1322236322e-02,-3.6237137785e+07,-3.1024421486e+07,-2.9146688772e-03,2.8908903816e-03,3,2
44,2.2000000000e+02,3.7253476014e+07,6.7265596754e+07,7.5064914700e-02,8.1217485579e-02,-3.6154165489e+07,-3.1183414980e+07,-2.0977325318e-03,2.5796338526e-03,3,2
45,2.2500000000e+02,3.8071548505e+07,6.6851723233e+07,7.5234873843e-02,8.1132670640e-02,-3.6086752267e+07,-3.1324560880e+07,-1.6974031861e-03,2.3306914752e-03,3,2
46,2.3000000000e+02,3.8811038918e+07,6.6495819736e+07,7.5388208224e-02,8.1059796055e-02,-3.6028682593e+07,-3.1451379374e+07,-1.4565589111e-03,2.1268296215e-03,3,2
47,2.3500000000e+02,3.9485342917e+07,6.6178512578e+07,7.5527802079e-02,8.0994867022e-02,-3.5976856115e+07,-3.1566452178e+07,-1.2955676038e-03,1.9567122937e-03,3,2
48,2.4000000000e+02,1.0000000000e+07,6.5888670064e+07,6.9828433485e-02,8.0935587390e-02,-3.5929484689e+07,-2.4998167425e+07,-4.9103931451e-02,1.3888290428e-04,3,2
49,2.4500000000e+02,1.0000000000e+07,6.5619299802e+07,6.9569944083e-02,8.0880515612e-02,-3.5885439564e+07,-2.5116446639e+07,-1.0730053938e-02,7.8980796338e-04,3,2
50,2.5000000000e+02,1.0000000000e+07,6.5365737563e+07,6.9505986755e-02,8.0828690762e-02,-3.5843965819e+07,-2.5259199415e+07,-5.6959542482e-03,9.1089559906e-04,3,2
51,2.5500000000e+02,1.0000000000e+07,6.5124734933e+07,6.9480741086e-02,8.0779444049e-02,-3.5804536840e+07,-2.5362793878e+07,-3.7443519539e-03,6.4435617731e-04,3,2
52,2.6000000000e+02,1.0000000000e+07,6.4893953648e+07,6.9468088236e-02,8.0732294334e-02,-3.5766773115e+07,-2.5439169945e+07,-2.7345120415e-03,4.6710798559e-04,3,2
53,2.6500000000e+02,1.0000000000e+07,6.4671663361e+07,6.9460810660e-02,8.0686885777e-02,-3.5730393540e+07,-2.5497944632e+07,-2.1548420433e-03,3.5509331792e-04,3,2
54,2.7000000000e+02,1.9797157397e+07,7.0000000000e+07,7.1345312733e-02,8.1682884569e-02,-3.6602877636e+07,-2.7795566815e+07,-2.1276428440e-03,2.2720803893e-02,3,2
55,2.7500000000e+02,2.3791744247e+07,7.0000000000e+07,7.2223459045e-02,8.1721837758e-02,-3.6580563284e+07,-2.8709285511e+07,-1.2133133484e-03,1.0152159940e-02,3,2
56,2.8000000000e+02,2.6377901519e+07,7.0000000000e+07,7.2786665608e-02,8.1732155049e-02,-3.6576829073e+07,-2.9244808006e+07,-9.6529636885e-04,6.5030924410e-03,3,2
57,2.8500000000e+02,2.8310328506e+07,7.0000000000e+07,7.3201645694e-02,8.1736921322e-02,-3.6576738411e+07,-2.9620224782e+07,-8.0499277706e-04,4.8433721949e-03,3,2
58,2.9000000000e+02,2.9858022131e+07,7.0000000000e+07,7.3530611142e-02,8.1739668384e-02,-3.6577285032e+07,-2.9909079205e+07,-6.9795591791e-04,3.8991011838e-03,3,2
59,2.9500000000e+02,3.1150821946e+07,7.0000000000e+07,7.3803387943e-02,8.1741441025e-02,-3.6577873738e+07,-3.0144020134e+07,-6.2218502263e-04,3.2868931872e-03,3,2
60,3.0000000000e+02,3.2261929639e+07,6.8225391204e+07,7.4036570070e-02,8.1414569271e-02,-3.6307989198e+07,-3.0342218060e+07,-7.4496149195e-03,2.8555859316e-03,3,2
61,3.0500000000e+02,3.3236827900e+07,6.7388149822e+07,7.4240338250e-02,8.1243566299e-02,-3.6173027149e+07,-3.0513775932e+07,-3.4180824243e-03,2.5339113953e-03,3,2
62,3.1000000000e+02,3.4105755248e+07,6.6785856830e+07,7.4421387541e-02,8.1120055731e-02,-3.6075193856e+07,-3.0665129397e+07,-2.4613875855e-03,2.2838810608e-03,3,2
63,3.1500000000e+02,3.4889853961e+07,6.6297901176e+07,7.4584356193e-02,8.1020055092e-02,-3.5995716457e+07,-3.0800627655e+07,-1.9898318251e-03,2.0833733401e-03,3,2
64,3.2000000000e+02,3.5604498063e+07,6.5878914691e+07,7.4732591067e-02,8.0934257478e-02,-3.5927357494e+07,-3.0923347618e+07,-1.7037101474e-03,1.9186199553e-03,3,2
65,3.2500000000e+02,3.6261225353e+07,6.5506354138e+07,7.4868587614e-02,8.0858014696e-02,-3.5866511249e+07,-3.1035547106e+07,-1.5104073799e-03,1.7805937285e-03,3,2
66,3.3000000000e+02,1.0000000000e+07,6.5167251541e+07,6.9795361430e-02,8.0788651936e-02,-3.5811094529e+07,-2.5160534531e+07,-4.2508462102e-02,2.4145213291e-04,3,2
67,3.3500000000e+02,1.0000000000e+07,6.4853435217e+07,6.9557431491e-02,8.0724484669e-02,-3.5759788047e+07,-2.5255957999e+07,-9.1023628940e-03,6.2113622337e-04,3,2
68,3.4000000000e+02,1.0000000000e+07,6.4559424304e+07,6.9498763043e-02,8.0664383939e-02,-3.5711704572e+07,-2.5382164654e+07,-4.8197874884e-03,7.8770968536e-04,3,2
69,3.4500000000e+02,1.0000000000e+07,6.4281372333e+07,6.9475925651e-02,8.0607557972e-02,-3.5666220358e+07,-2.5474599341e+07,-3.1506541799e-03,5.6359852608e-04,3,2
70,3.5000000000e+02,1.0000000000e+07,6.4016483955e+07,6.9464678931e-02,8.0553431725e-02,-3.5622881567e+07,-2.5542762418e+07,-2.2912441440e-03,4.0930042804e-04,3,2
71,3.5500000000e+02,1.0000000000e+07,6.3762669040e+07,6.9458333125e-02,8.0501575479e-02,-3.5581348542e+07,-2.5595077725e+07,-1.7851533164e-03,3.1070746805e-04,3,2
72,3.6000000000e+02,1.8824744134e+07,7.0000000000e+07,7.1156734838e-02,8.1667569038e-02,-3.6602786409e+07,-2.7667711039e+07,-1.8652651333e-03,2.6578755912e-02,3,2
73,3.6500000000e+02,2.2470310451e+07,7.0000000000e+07,7.1958391205e-02,8.1713315415e-02,-3.6576567717e+07,-2.8504606189e+07,-9.6311104946e-04,8.8385522643e-03,3,2
